"시점",M2(말잔 계절조정계열),현금통화,요구불예금,수시입출식저축성예금,MMF,만기2년미만정기예적금,수익증권,시장형상품1),만기2년미만금융채,만기2년미만금전신탁,기타2)
"2005.07",1004623.4,19025.8,65918.8,192362.1,70774.7,407622.9,78525.9,68893.8,43433.0,28314.4,29752.0
"2005.08",1007822.6,19258.8,66823.6,192648.2,70492.2,409059.8,79624.5,70488.4,44211.8,27181.9,28033.5
"2005.09",1013018.5,19478.3,66883.3,202400.1,63558.1,412747.0,79035.0,72524.7,42910.3,26857.7,26623.9
"2005.10",1009310.0,19374.5,66516.7,191136.4,65027.3,417027.9,78773.3,74078.5,41904.0,27714.8,27756.7
"2005.11",1013663.2,19399.7,66426.6,193473.5,61867.7,416727.5,80180.5,74276.5,43099.9,28669.5,29541.8
"2005.12",1017302.3,19615.1,68505.2,198579.6,62429.5,412199.1,83007.7,74145.0,42330.4,28492.3,27998.5
"2006.01",1028054.9,19810.7,70017.1,200228.4,63391.9,414104.4,85115.5,75723.3,41877.8,29713.9,28072.0
"2006.02",1034033.0,20113.7,69647.0,199047.4,62773.2,416048.4,87750.7,75048.0,42215.6,33475.1,27913.8
"2006.03",1038058.3,20294.2,70120.5,200247.8,64402.1,418457.7,89246.0,75256.2,40724.6,32687.2,26622.0
"2006.04",1044068.2,20396.4,69762.7,200912.7,65073.7,420907.4,92546.9,73919.4,39930.2,33490.2,27128.7
"2006.05",1062511.4,20873.7,71645.4,205126.5,67248.5,425800.8,95794.8,74024.3,40986.1,34574.8,26436.5
"2006.06",1075247.3,20585.9,72080.8,208294.4,53683.3,432317.2,99011.1,74539.7,42422.7,42406.1,29906.2
"2006.07",1081775.7,20638.6,72120.0,208321.1,50125.0,436887.3,101354.5,74418.3,44468.5,43638.0,29804.5
"2006.08",1092717.1,20351.0,72397.6,206955.7,50712.9,440452.4,99989.3,78253.4,45533.5,46900.3,31171.0
"2006.09",1112574.3,20386.8,74641.7,208235.9,52999.2,446817.8,103537.2,77470.8,46303.5,49030.6,33150.9
"2006.10",1117405.9,20676.4,75718.7,207918.0,54100.8,445611.9,106254.4,77018.5,47475.9,48617.7,34013.6
"2006.11",1128613.2,20672.2,76694.4,211259.8,57087.4,445521.4,108860.0,76585.3,47479.4,49564.4,34888.8
"2006.12",1144573.1,20748.2,78313.8,215530.8,58259.8,448392.9,110497.5,82950.0,48044.9,50375.1,31460.2
"2007.01",1147306.3,21021.0,75971.2,209350.7,54899.9,451298.4,112736.9,91105.3,48816.9,49575.8,32530.4
"2007.02",1147909.9,21650.3,75992.6,207490.8,50900.5,453157.9,115394.7,89934.8,48933.5,51081.1,33373.8
"2007.03",1160311.5,21098.6,77469.1,209519.0,48874.1,454664.4,119408.0,92072.0,49299.2,54949.4,32957.8
